species,treatment,week,replicate,date,E,A,Ca,Ci,CO2_r,gsw
lettuce,aqua,1,3,20230214 08:57:54,0.010390882,17.56097338,408.7570968,358.4046808,419.7959355,0.743867856
lettuce,aqua,1,8,20230214 09:16:43,0.011264762,17.17741618,409.1057931,362.9453281,420.0064828,0.790345035
lettuce,aqua,1,13,20230214 09:34:50,0.011382853,18.02990651,408.7123667,361.5305456,419.9589,0.822706161
lettuce,aqua,1,17,20230214 09:53:46,0.011913614,17.09853787,409.0550645,364.8209515,419.9718387,0.784463731
lettuce,aqua,1,19,20230214 10:18:21,0.010090511,16.23192785,409.8318333,362.0056395,419.9848333,0.719663197
lettuce,soil,1,5,20230214 10:54:02,0.000987562,1.970625596,418.8030968,360.3777393,419.9818387,0.061783204
lettuce,soil,1,3,20230214 11:12:28,0.004133882,10.48274331,414.0490667,343.3436272,419.9976,0.409451633
lettuce,soil,1,9,20230214 11:27:54,0.001108287,3.051643583,418.2398387,341.1676296,419.9994516,0.104121912
lettuce,soil,1,10,20230214 11:43:53,0.001661506,3.33388465,417.9977586,358.882995,419.9792069,0.102031717
lettuce,soil,1,20,20230214 11:59:53,0.001804149,6.09367256,416.6370333,324.0234576,419.9852,0.127580533
lettuce,aqua,2,3,20230221 08:35:24,0.00681811,13.7963581,398.39712,339.1670658,418.62428,0.46487671
lettuce,aqua,2,6,20230221 08:52:26,0.006067234,16.41841571,400.34432,324.4930202,421.92808,0.411717073
lettuce,aqua,2,12,20230221 09:10:37,0.007746928,15.17128803,398.1250769,340.601078,419.1011154,0.532924569
lettuce,aqua,2,19,20230221 09:30:38,0.007666084,15.31214629,400.47232,351.5875039,421.77188,0.638069429
lettuce,aqua,2,14,20230221 09:26:06,0.007895785,17.07653552,409.8833871,359.1047968,419.9979032,0.684537632
lettuce,soil,2,2,20230221 09:52:28,0.011278837,15.91681456,399.9348462,355.94249,422.3168462,0.802899232
lettuce,soil,2,7,20230221 10:10:19,0.002511018,5.153275239,407.19648,347.2905001,422.66956,0.16612235
lettuce,soil,2,19,20230221 10:29:06,0.001880123,2.323413606,406.9245769,366.5345758,420.8632308,0.122587217
lettuce,soil,2,4,20230221 10:48:19,0.002726061,4.465635864,403.1613077,353.3177827,418.517,0.180192343
lettuce,soil,2,9,20230221 11:04:21,0.002084682,4.150626994,405.31,347.0483517,420.00652,0.137720546
lettuce,aqua,3,3,20230228 08:45:45,0.008257964,20.59490066,382.9553,313.3018542,418.7891,0.581088215
lettuce,aqua,3,4,20230228 09:05:47,0.008565829,15.02434998,392.5241,340.4665676,422.9759,0.604366956
lettuce,aqua,3,8,20230228 09:24:34,0.006513452,13.82480065,392.0669,330.710162,420.5371,0.44768699
lettuce,aqua,3,10,20230228 09:44:26,0.006224353,13.8919364,392.0945,328.2987564,420.6161,0.428387311
lettuce,aqua,3,14,20230228 10:04:23,0.00716167,13.11022006,394.8994,341.0142936,422.9433,0.499446341
lettuce,soil,3,2,20230228 10:41:56,0.001641342,4.736893905,401.9237,322.167051,419.7581,0.108541864
lettuce,soil,3,3,20230228 10:58:58,0.003068194,7.728243576,399.4064,327.383349,420.8318,0.201891609
lettuce,soil,3,7,20230228 11:15:32,0.001809628,4.793714543,402.8353,328.4022181,420.8211,0.119187995
lettuce,soil,3,15,20230228 11:31:49,0.002791601,6.609150653,399.8661,332.7893514,419.9903,0.186704127
lettuce,soil,3,16,20230228 11:49:17,0.001854017,4.919389678,403.5322,329.9161039,421.7949,0.123764468
lettuce,aqua,4,1,20230307 08:39:20,0.004185418,8.997323322,398.6188462,337.2264845,421.6163462,0.285294603
lettuce,aqua,4,4,20230307 08:56:46,0.007835411,14.79690943,393.29352,338.2685995,423.14324,0.552127271
lettuce,aqua,4,7,20230307 09:21:07,0.004200339,10.77107884,396.7248462,325.3006819,421.2806538,0.285976865
lettuce,aqua,4,12,20230307 09:42:11,0.002806243,9.952624467,400.2811923,304.5452395,423.3885769,0.187536678
lettuce,aqua,4,20,20230307 10:00:56,0.003784579,9.298018486,396.9802308,328.1588141,420.028,0.258128901
lettuce,soil,4,1,20230307 10:22:03,0.002474569,5.777372292,402.7538077,336.6165698,421.9278077,0.165547939
lettuce,soil,4,3,20230307 10:34:58,0.002565757,3.154183975,415.76725,375.6787613,420.0051429,0.156379956
lettuce,soil,4,16,20230307 10:55:34,0.002364909,5.968936727,401.5645769,330.6641252,420.7356154,0.157551272
lettuce,soil,4,17,20230307 11:10:42,0.003985646,5.690740333,399.7870385,355.4949317,419.3464231,0.269473035
lettuce,soil,4,20,20230307 11:27:26,0.002256146,3.968438231,403.8463846,351.3307393,421.1090769,0.149861482
basil,aqua,1,3,20230907 08:23:28,0.001042738,4.518657716,417.4507,299.9051992,419.9771667,0.067122098
basil,aqua,1,7,20230907 08:43:00,0.001506393,4.464435681,417.5218,333.2532661,420.0047333,0.096583951
basil,aqua,1,11,20230905 10:31:16,0.001363998,6.10777684,416.5889965,318.9846666,420.062,0.109736559
basil,aqua,1,20,20230905 10:48:04,0.002596344,5.450016564,415.4154969,360.9305088,418.6945,0.193930258
basil,aqua,1,9,20230905 11:02:50,0.002064188,3.552511196,417.769498,370.5113264,419.945,0.150413026
basil,soil,1,18,20230905 08:43:34,0.003036828,2.484177317,418.1126667,383.8638999,420.0413333,0.176495173
basil,soil,1,9,20230905 08:58:38,0.002025986,0.340241666,414.765,400.8825643,421.141,0.136583212
basil,soil,1,6,20230905 09:13:28,0.002225012,4.087081342,417.473,355.1671246,419.945,0.12893904
basil,soil,1,11,20230905 09:34:32,0.002265292,2.955638748,420.4785,373.1269791,397.7095,0.13225205
basil,soil,1,3,20230905 09:52:38,0.001016905,1.681803537,418.8766667,361.3965947,419.9133333,0.058251191
basil,aqua,2,11,20230912 09:47:32,0.001096658,4.878901332,417.2825333,296.8710982,419.9764333,0.07061007
basil,aqua,2,5,20230912 10:03:22,0.000920672,3.617279739,417.970129,310.7769205,419.9584516,0.05940886
basil,aqua,2,13,20230912 10:19:23,0.000871348,3.543521741,417.9427333,306.0650824,419.976,0.055545861
basil,aqua,2,15,20230912 10:35:16,0.000756391,2.451387129,418.5285806,325.2868489,419.9936129,0.047150369
basil,aqua,2,17,20230912 10:50:44,0.001156341,1.999971441,418.6926774,369.7202194,419.9644839,0.080992981
basil,soil,2,15,20230912 08:31:55,0.000885745,0.416066338,419.4870645,397.6354798,419.989129,0.057343536
basil,soil,2,18,20230912 08:48:57,0.001184551,1.956728981,418.8229032,367.1720122,419.9853548,0.07569741
basil,soil,2,14,20230912 09:06:57,0.001121431,1.985917292,418.747871,363.606416,419.9902581,0.07093506
basil,soil,2,11,20230912 09:24:06,0.00142847,0.895712937,419.2164286,393.5287783,419.9967857,0.09294442
basil,aqua,3,7,20230919 10:08:32,0.002211642,8.01601058,415.579871,321.6597006,419.9665484,0.153131868
basil,aqua,3,11,20230919 10:23:10,0.002523749,3.17623889,417.8765484,376.9852486,419.9752903,0.166700759
basil,aqua,3,5,20230919 10:38:53,0.000873658,1.647248614,418.9682903,367.9497024,419.9760968,0.062897511
basil,aqua,3,19,20230919 10:56:11,0.002269829,6.744166819,416.1582667,336.015441,420.0018333,0.154411888
basil,aqua,3,18,20230919 11:10:32,0.0019062,8.25996529,415.4280323,298.329638,419.9708065,0.123921144
basil,soil,3,11,20230919 08:31:42,0.000914772,2.581700352,402.4499167,321.9681571,70.57680833,0.058306095
basil,soil,3,15,20230919 08:57:07,0.001173547,1.477528075,418.9984516,377.3081483,420.0107097,0.075291952
basil,soil,3,19,20230919 09:18:32,0.001184521,2.442024984,418.9266667,358.1909858,420.0178,0.077144704
basil,soil,3,6,20230919 09:34:05,0.000725694,2.596382377,418.5586333,318.4358188,419.9848667,0.046010226
basil,soil,3,5,20230919 09:53:17,0.000843535,0.981828912,419.3429355,379.5668651,419.9860323,0.053378421
basil,aqua,4,7,20230926 10:03:21,0.002229078,1.472763908,419.1026333,391.7539019,419.9572,0.142951763
basil,aqua,4,5,20230926 10:17:21,0.002021678,4.51616849,416.9371667,358.0191967,419.8970667,0.148116031
basil,aqua,4,14,20230926 10:33:39,0.002027942,1.731896425,418.6752258,386.8937351,419.965,0.131638475
basil,aqua,4,18,20230926 10:47:40,0.001886454,4.206433996,417.7675333,349.7865938,419.9598333,0.11875696
basil,aqua,4,19,20230926 11:01:37,0.001919277,5.856117745,417.2718065,334.4802447,419.9758387,0.130379296
basil,soil,4,11,20230926 08:35:30,0.002082413,3.404269474,417.8186452,366.7226205,419.8830323,0.135717424
basil,soil,4,15,20230926 08:51:27,0.001328991,1.518287234,418.8785667,379.1042683,419.9821333,0.083767893
basil,soil,4,8,20230926 09:12:06,0.001468528,1.506598329,418.8381613,384.8784109,419.971871,0.100751073
basil,soil,4,19,20230926 09:32:50,0.001598313,1.005018389,418.9767419,392.1184651,419.9696129,0.10043487
basil,soil,4,20,20230926 09:47:33,0.001956943,0.568323925,419.2732258,401.2720288,419.9800968,0.124874863
wheat,aqua,1,19,20240130 09:43:35,0.002243909,6.470583214,416.3006452,333.711749,419.9496774,0.146619028
wheat,aqua,1,16,20240130 09:58:32,0.003001858,11.78711546,413.7374,307.2497025,419.9909,0.202806145
wheat,aqua,1,15,20240130 10:15:09,0.002576443,12.99484862,412.9814516,275.3865612,419.992129,0.167900971
wheat,aqua,1,12,20240130 10:30:27,0.002603399,10.65665194,414.0995333,300.8844813,419.969,0.170437416
wheat,aqua,1,3,20240130 10:48:36,0.003828588,16.88764892,411.0228667,292.3378434,419.9844,0.261151994
wheat,soil,1,1,20240130 08:18:59,0.002665459,10.52022791,412.4061935,302.1229493,418.1125806,0.173340598
wheat,soil,1,20,20240130 08:36:15,0.003333667,7.550142443,415.5939,349.5554583,420.0051,0.225319185
wheat,soil,1,9,20240130 08:52:51,0.004092171,13.74905329,412.2594,318.5479263,420.0359667,0.277506714
wheat,soil,1,13,20240130 09:10:11,0.004656523,13.796199,412.3458065,328.244379,419.9989677,0.317639258
wheat,soil,1,12,20240130 09:26:00,0.004266272,11.17048926,413.6728387,339.2806042,420.0115806,0.294064225
wheat,aqua,2,19,20240206 09:52:31,0.001767192,4.626304142,417.2624,341.0949784,419.9743,0.114302527
wheat,aqua,2,14,20240206 10:09:10,0.002631809,5.673632143,416.6073226,352.4652597,419.9712258,0.17368879
wheat,aqua,2,6,20240206 10:29:15,0.002033038,5.192876528,416.9728387,342.2452339,419.9827742,0.131732104
wheat,aqua,2,7,20240206 10:45:29,0.005480052,11.71657703,413.9363,353.8819195,420.0189,0.403537473
wheat,aqua,2,1,20240206 11:02:14,0.007280806,17.36912488,410.1072333,340.1055188,419.9732667,0.515650347
wheat,soil,2,9,20240206 08:16:02,0.000592393,2.938607031,416.8682,280.4742696,418.7145667,0.037224169
wheat,soil,2,15,20240206 08:34:46,0.002009272,6.779052909,416.1766129,321.0683426,419.9680323,0.130449758
wheat,soil,2,4,20240206 08:53:08,0.003546825,11.1758449,413.6854333,324.4506922,419.9872333,0.236495669
wheat,soil,2,7,20240206 09:10:16,0.004579361,11.19179012,413.4106,352.1614807,419.9846333,0.367743205
wheat,soil,2,11,20240206 09:35:08,0.001108888,1.616340387,418.9245333,371.5645962,420.0237333,0.070584484
wheat,aqua,3,19,20240213 09:39:03,0.002003529,9.340572531,415.0063,323.5994028,420.0157,0.184323033
wheat,aqua,3,17,20240213 09:57:16,0.006827814,21.60480708,408.6751613,326.2263999,420.1041613,0.527303921
wheat,aqua,3,15,20240213 10:15:55,0.006459175,22.32159806,407.6559,309.4530291,419.9884,0.444399352
wheat,aqua,3,9,20240213 10:32:42,0.006244858,18.30967161,409.7352,325.7009951,420.0069333,0.433241622
wheat,aqua,3,7,20240213 10:51:04,0.005975176,9.483922008,413.6733667,363.3637859,420.0018,0.41273239
wheat,soil,3,18,20240213 08:10:04,0.003111072,8.067420758,411.9212667,334.9400328,415.6834333,0.201172605
wheat,soil,3,17,20240213 08:26:19,0.00370713,7.779798439,415.7596452,352.4831366,419.9535484,0.246603872
wheat,soil,3,9,20240213 08:46:43,0.001360265,8.297805859,415.612,297.8225818,420.0071935,0.122861243
wheat,soil,3,2,20240213 09:04:47,0.001525266,8.905317297,415.6130323,305.9907024,419.9925806,0.14278951
wheat,soil,3,7,20240213 09:21:49,0.003938464,12.24745118,413.4689355,351.3388885,420.0026452,0.387304199
wheat,aqua,4,3,20240220 09:41:26,0.003904575,12.62998745,412.8887667,322.2635839,419.978,0.263877231
wheat,aqua,4,8,20240220 10:00:21,0.007385936,18.73147499,409.3779032,337.0607258,419.9857742,0.535508431
wheat,aqua,4,12,20240220 10:18:10,0.003240044,13.01719603,412.8176333,301.2726863,419.9844,0.213601203
wheat,aqua,4,16,20240220 10:36:41,0.004857582,17.71786401,410.2344839,309.6761475,420.0027742,0.334228786
wheat,aqua,4,19,20240220 10:55:25,0.0038655,18.73598125,409.8655333,279.7017816,420.0071,0.262010816
wheat,soil,4,3,20240220 08:07:20,0.002142889,7.803053911,413.9747,314.5519797,418.1725667,0.142824987
wheat,soil,4,1,20240220 08:26:52,0.003710553,12.97061619,412.7554839,315.7187264,419.9528065,0.250160087
wheat,soil,4,18,20240220 08:45:07,0.003990697,10.00675646,414.2823226,341.5443724,419.9900645,0.269474264
wheat,soil,4,4,20240220 09:02:23,0.002424804,8.757464606,415.3183871,316.4465531,419.988871,0.162081971
wheat,soil,4,2,20240220 09:22:33,0.005070511,13.01550868,412.5055,339.3101866,420.0019,0.353418857
